Date & Time,Open,High,Low,Close,Volume,Turnover (₹ Cr)
28.08.2023,44276.85,44400.5,44121.85,44326.45,258817798,6302.44
29.08.2023,44460.6,44628.45,44405.05,44589.4,201175174,6664.26
30.08.2023,44798.4,44905.85,44709.85,44743.25,365019177,7837.71
31.08.2023,44785.65,44797.15,44375.3,44415.5,313469490,14241.01
01.09.2023,44493.7,44836.7,44403.55,44799.75,249602232,8065.95
04.09.2023,45026.45,45244.25,44799.75,45201,240173676,8320.9
05.09.2023,45348.15,45433.7,45126.3,45294.1,232747528,7239.78
06.09.2023,45382.6,45531.2,45287.5,45508.15,193368094,7986.72
07.09.2023,45569.35,45794.9,45508.15,45739.35,269547076,8315.95
08.09.2023,45893.35,46207.1,45853.25,46110.8,297860811,10257.15
11.09.2023,46359.6,46637.15,46277.8,46585.7,298363817,10076.83
12.09.2023,46796.6,46799,45430.6,45515.35,334920747,10439.14
13.09.2023,45496.45,45735.75,45068.15,45655.45,244910228,7114.88
14.09.2023,45861.65,46030.45,45743.95,45971.2,210317248,7196.61
15.09.2023,46116.15,46146.5,45889.3,46051.85,372421086,10612.09
18.09.2023,46296.05,46296.4,45979.7,46026.05,296030452,9123.44
20.09.2023,45915.7,46058,45550.2,45620.65,280097354,8777
21.09.2023,45586.85,45718.9,45125.95,45231.2,190693934,6703.26
22.09.2023,45265.05,45506.85,45008.05,45176,227789765,8284.66
25.09.2023,45248.55,45281.45,44876.4,45070.95,175502860,6349.55
26.09.2023,45092.85,45285.05,45085.1,45158.9,162764988,6650.2
27.09.2023,45173.5,45245,44896.75,45222.6,193203471,6816.16
28.09.2023,45286.2,45311.85,44469.9,44548.8,249453361,9837.09
29.09.2023,44739.55,45163.7,44672.65,45036.65,231563615,6619.72
03.10.2023,45133.15,45213.5,44901.85,45186.75,322717039,8844.86
04.10.2023,45068.7,45084.7,44337.75,44560.85,332011791,9374.52
05.10.2023,44759.85,44862.95,44521.75,44669.65,397441912,8572.78
06.10.2023,44886.4,44987.05,44780.2,44950.4,230503103,6445.86
09.10.2023,44550.9,44605,44251.25,44407.1,232112845,5712.54
10.10.2023,44596.7,45035.05,44581,45006.2,236002284,6834.68
11.10.2023,45199.35,45382.35,45160.05,45237.05,311381310,7863.7
12.10.2023,45368.75,45435.1,45285.15,45342,273062826,6287.25
13.10.2023,45158.2,45403,45114.95,45290.3,226301444,6009.91
16.10.2023,45271.6,45502.95,45202.4,45421.45,193525025,5725.36
17.10.2023,45595.15,45652.65,45518.7,45586.75,196744794,5569.19
18.10.2023,45625.95,45636.45,45011.1,45120.25,294590159,6985.69
19.10.2023,44911.55,45065.8,44682.25,44974.5,178665524,5638.12
20.10.2023,44883.85,44911.1,44464.85,44547.65,236635366,6611.03
23.10.2023,44552.8,44604.15,43574.55,43684.75,265575016,6691.55
25.10.2023,43762.45,44022.85,43144.15,43418.65,227009129,6614.25
26.10.2023,43226.3,43228.4,42539.15,42994.5,363518453,8302.75
27.10.2023,43257.75,43939.4,43252.5,43837.5,264324159,7788.85
30.10.2023,43923.85,43982.85,43462.85,43906.6,195120751,5996.81
31.10.2023,44133.9,44183.05,43890.95,44019.1,243453177,7750.21
01.11.2023,44122.15,44216.25,43718.65,43783.15,254039390,6901.65
02.11.2023,44114.75,44478.35,44086.3,44451.1,255810676,5988.1
03.11.2023,44691.35,44907.9,44613.35,44885,412605267,8485.16
06.11.2023,45061.8,45269.35,44985.35,45227.45,387682179,8691.28
07.11.2023,45302.5,45641.15,45137.85,45593.3,383088186,9629.8
08.11.2023,45798.85,45912.2,45695.65,45894.9,279327574,7740.5
09.11.2023,45996.2,46011.25,45628.15,45660.4,208268256,6452.03
10.11.2023,45568.65,45767.5,45378.5,45724.2,196494308,7018.31
12.11.2023,46070.3,46090.1,45897.1,45942.95,40475360,1082.48
13.11.2023,45898.2,46009.85,45739.65,45986.7,213102247,5281.9
15.11.2023,46348.05,46478.55,46155.05,46425.55,272419486,7673.6
16.11.2023,46486.45,46691.25,46330.25,46591.55,212805283,6388.16
17.11.2023,46510.9,46870.75,46422.9,46838.25,271353389,8402.31
20.11.2023,46943.55,46948.55,46640.45,46716.9,182039573,5564.56
21.11.2023,46887.6,46935.15,46683.95,46718.25,177333661,5760.47
22.11.2023,46768.75,46851.15,46367.85,46541.15,186315952,5174.89
23.11.2023,46651.4,46781.4,46549.45,46675.55,161369813,5040.39
24.11.2023,46762.8,46819,46578.1,46607.75,194504805,6677.14
28.11.2023,46793.3,47216.25,46718.6,47161.95,358569701,12035.33
29.11.2023,47471.95,47556.4,47414.2,47487.5,392428661,12755.32
30.11.2023,47550.5,48082.95,47382.7,48020.4,623719961,18521.11
01.12.2023,48373.1,48565.55,48197.45,48486.4,388261860,10615.01
04.12.2023,49347.55,49473.1,49071.4,49424.8,518255116,14750.73
05.12.2023,49568,49956.6,49405.7,49937.35,476945748,19165.24
06.12.2023,50223.45,50621.8,50184.35,50517.35,476594418,22914.68
07.12.2023,50753.2,50987.25,50544.35,50920.6,505265748,20024.76
08.12.2023,51197.7,51289.55,50079,50608.75,400016045,15617.8
11.12.2023,50770.1,51172.95,50696.85,51139.65,318726747,11508.42
12.12.2023,51324.15,51352.45,50583.9,50813.2,267597643,11116.59
13.12.2023,50984.65,51321.6,50687.45,51273.5,318417111,12896.37
14.12.2023,51651.25,52004.7,51540.75,51925.45,352070759,13112.48
15.12.2023,52191.6,52210.55,51836.25,51957.35,358452712,12825.59
18.12.2023,52090,52369,51796.75,52301,336877671,13885.64
19.12.2023,52481.85,52515.8,51917.7,52387.2,308333220,12719.06
20.12.2023,52734.65,52823.4,50688,50844.6,393963257,15629.18
21.12.2023,50385.35,51594.25,50102.95,51520.65,325113812,12486.81
22.12.2023,51845.95,51999.5,51514.95,51944,332949161,11511.03
26.12.2023,52201.05,52483.3,52113.2,52434.85,281167603,9076.3
27.12.2023,52699.35,52875,52428.95,52680.2,263792535,9532.43
28.12.2023,52906.75,53038.65,52734.8,52964.1,515341622,13662.5
29.12.2023,53033.55,53388.9,52845.05,53344.8,366472016,10392.48
01.01.2024,53551.6,53648.95,53297.9,53409.8,289388883,8298.12
02.01.2024,53586.35,53604.4,52605.2,53277.5,310392600,9717.96
03.01.2024,53408.35,53842.1,53225.2,53680.35,382533455,16489.75
04.01.2024,53908.95,54434.2,53897.8,54359.95,299089963,11785.98
05.01.2024,54582.05,54687.6,53949,54295.25,339192999,13463.46
08.01.2024,54450,54450,53670,53728.9,286180407,10421.97
09.01.2024,54115.2,54297.6,53891.65,53960.65,248184674,10069.22
10.01.2024,53997.65,54131.95,53490.05,54077.65,269700864,9904.68
11.01.2024,54355.25,54675.55,54318.9,54595.6,293715289,10361.13
12.01.2024,54847.6,54852.9,54587.1,54742.9,310809186,9538.3
15.01.2024,55013.2,55025.6,54530.6,54936.65,284775438,9906.54
16.01.2024,55013,55056.75,54515,54816.9,337642014,11899.48
17.01.2024,54478.65,54813.1,54116.55,54206.25,410804424,12956.75
18.01.2024,54052.55,54150.95,52766.3,53948.4,381326021,12272.06
19.01.2024,54297.25,54741.8,54250.95,54709,353182530,11077.58
20.01.2024,54970.9,55038.55,54459.35,54727.2,214455320,8033.04
23.01.2024,55218.25,55227.7,53009.75,53294.7,454942238,16358.85
24.01.2024,53419.05,54272.05,52872.95,54208.3,372127973,14656.33
25.01.2024,54493.2,54493.2,53779.5,54291.75,399587259,11922.63
29.01.2024,54564.2,55081.2,54369.4,55012.6,452499959,15603.28
30.01.2024,55249.25,55507.15,54763.75,54826.2,395006294,14424.18
31.01.2024,54916.1,55346.55,54800.1,55299.25,467463967,16220.87
01.02.2024,55673.85,55858.3,55168.6,55508.85,481077234,17037.36
02.02.2024,55852.8,56218.25,55818.6,55940.3,539082558,14851.6
05.02.2024,56330.55,56535.35,55463.5,55669.85,468212848,16326.8
06.02.2024,55935.45,56530.4,55504.05,56465.45,353196112,12379.81
07.02.2024,56931.25,57489.55,56600.4,57386.6,462818667,18682.01
08.02.2024,57754.2,57927.7,57388.45,57660.7,570211470,21414.82
09.02.2024,57811.55,57834.6,56263.4,57432.9,662074725,21020.37
12.02.2024,57559.7,57698.7,56104,56323.7,479740264,15670
13.02.2024,56425.1,56939.95,55701.9,56893.05,357623575,12984.41
14.02.2024,56477.15,57806.7,56274.7,57672.4,318293216,12205.91
15.02.2024,58073.5,58241.2,57931.6,58185.9,543793423,17544.37
16.02.2024,58460.85,58694.9,58393.6,58586.15,,
19.02.2024,58838.3,58897.75,58548.4,58650.3,280672307,10478.86
20.02.2024,58702.4,58767.2,58428.25,58706.4,270107778,9774.57
21.02.2024,58913.6,59104.8,58204.25,58386.5,327274812,14125.42
22.02.2024,58638.45,59080.4,58006.9,58999,281176688,11872.7
23.02.2024,59172.95,59331.45,58811.95,59153.75,338988229,13482.97
26.02.2024,59146.85,59375.05,58998.25,59198.55,267887029,12377.16
27.02.2024,59246.05,59633.6,58885.05,59150.65,248642923,12627.18
28.02.2024,59296,59370,58218.1,58387.3,330065213,13881.23
29.02.2024,58390.8,59256.3,57803.7,58991.35,790715310,22952.3
01.03.2024,59315.4,59578.2,59213.7,59506.75,263824935,10281.83
02.03.2024,59720.95,59867.45,59669.35,59783.7,25555197,984
04.03.2024,59936,60045.6,59648.85,59944.2,330083951,11476.86
05.03.2024,60079.95,60225.55,59858.3,59981.35,322810333,12457.69
06.03.2024,60033.75,60048.85,58900.15,59806.1,854809536,20093.36
07.03.2024,59934.65,60573.1,59929.1,60323.9,338492603,14853.82
11.03.2024,60467.45,60920.25,60203.75,60311.15,330953216,18396.31
12.03.2024,60361.2,60418.8,59294.6,59377.2,268300002,11859.56
13.03.2024,59466.8,59661.8,56716.85,57149.55,406384727,16705.21
14.03.2024,56938.45,58639.85,56430.85,58520.2,325405817,13528.8
15.03.2024,58414.35,58661.1,57184.2,58058.8,549454176,17931.13
18.03.2024,58072.85,58563.15,57808.7,58422,242398605,10802.69
19.03.2024,58403.55,58403.95,57319.25,57402.7,249285102,11027.24
20.03.2024,57583.35,57798,56678.9,57581.45,238071006,9670.02
21.03.2024,58110.1,58986.5,58075.5,58918.3,277504713,11449.25
22.03.2024,58987.1,59326.25,58644.3,59188.9,239966115,10207.54
26.03.2024,59000.05,59858.55,58991.8,59801.5,271593015,13701.47
27.03.2024,60098.1,60352.25,59833.25,59911.7,300646593,17408.47
28.03.2024,60079.7,60842.35,60026,60624.3,327420400,14051.79
01.04.2024,61107.05,61755.35,61068.35,61634.6,316596290,13578.32
02.04.2024,61882.65,62296.85,61722.8,62254.1,445305876,16842.98
03.04.2024,62180.85,62480.9,61983.55,62423.75,445761842,16397.19
04.04.2024,62882.15,62951,62005.55,62158.95,422825178,16264.08
05.04.2024,62209.65,62734.75,62019.3,62696.1,406807913,14651.89
08.04.2024,63097.5,63242.85,62861.35,62993.6,366356618,14285.44
09.04.2024,63240,63256.5,62500.15,62794.05,347214914,13696.03
10.04.2024,63030.9,63460.85,63020.1,63325.45,397894901,16227.45
12.04.2024,63377.3,63735.35,62987.6,63067.85,444394584,18124.59
15.04.2024,62076.25,62716.65,61330,62008.15,494750076,18578.84
16.04.2024,61789.8,62331.55,61475.35,62057.5,401645086,15116.53
18.04.2024,62594.55,63033.6,61751.9,61989.2,451292492,18694.2
19.04.2024,61469.45,62051.7,60647.25,61887.9,368696613,15206.39
22.04.2024,62514.15,62759.35,62204.95,62683.65,350000706,13626.82
23.04.2024,63068.9,63068.9,62703.4,62798.55,307068493,12421.59
24.04.2024,63003.25,63460.1,62945.5,63277.4,308401449,13109.24
25.04.2024,63317.1,63766.35,63153.5,63704.45,322296621,12544.09
26.04.2024,63911.45,64375.25,63905.35,64134.55,424020927,14493.27
29.04.2024,64508.35,64652.35,64094.15,64488.05,379076117,14345.41
30.04.2024,64887.25,65421.4,64802.6,64900.5,585825127,24540
02.05.2024,65149.45,66058.05,65090.8,66008.85,505908784,23095.87
03.05.2024,66450.35,66456.25,65190.75,65770.5,408677077,18320.4
06.05.2024,65829.5,65865.4,64398.1,64937.4,586109278,22296.24
07.05.2024,65179.65,65332.1,63550.25,63937.35,501949971,21192.24
08.05.2024,63908.05,65076,63562.9,64784.25,458315111,19907.66
09.05.2024,64983,65063.8,63284.25,63411.1,453792988,18324.24
10.05.2024,63788.25,64056.8,63019,63934.2,379965082,14922.12
13.05.2024,64190.1,64453.85,62941.2,64354.4,450262350,19639.62
14.05.2024,64584.5,65388.65,64508.15,65304.8,449776699,19378.12
15.05.2024,65723.8,65915.55,65422.85,65643.7,443207276,19927.57
16.05.2024,66020.9,66483.9,65444.6,66320.2,473418589,21483.18
17.05.2024,66564.05,67181.25,66475.7,67105.05,526504056,19722.11
18.05.2024,67450.6,67724.4,67371.05,67657,97685399,3508.65
21.05.2024,68054.05,68324.25,67706.9,68241.75,637336995,24677.63
22.05.2024,68573.7,68611.35,67662.05,68328.25,521202919,21330.98
23.05.2024,68546,68858,68226.55,68819.8,611374803,21579.78
24.05.2024,68949.1,69458.95,68671.5,69033.25,488828664,24241.35
27.05.2024,69427.45,69599.65,68564.65,69136.3,500304775,20655.32
28.05.2024,69343.65,69453.8,68032.2,68545.6,407142331,17503.37
29.05.2024,68191,68535.45,67899.85,68070.5,408808905,17025.67
30.05.2024,68000.7,68161.35,67162.3,67358.2,441515457,16372.81
31.05.2024,67799.1,67926.1,66816.3,67527.65,1119396354,43157.88
03.06.2024,70871.9,70871.9,69492.65,70620.25,979667689,38714.03
04.06.2024,70511.3,70511.3,60663.4,64022.15,1886775118,70411.15
05.06.2024,65266.6,67079.5,62764.25,66835.4,1142239634,46012.86
06.06.2024,67567.55,68790.3,67553.7,68224.45,678593819,29407.02
07.06.2024,68331.05,69300,67897.7,69222.25,501952269,21470.65
10.06.2024,69722.25,70049.5,69233.4,69744.6,490962931,19496.22
11.06.2024,69922.15,70183.9,69598.1,69678.7,453914589,19013.08
12.06.2024,69991.35,70361.95,69858.4,70202.15,454679319,18668.71
13.06.2024,70831.4,70933.55,70231.8,70842.55,462779848,22084.47
14.06.2024,71215.55,71970.25,71078.05,71892.15,446774237,24211.5
18.06.2024,72333.85,72414.35,72051.2,72345.7,433539650,24191.6
19.06.2024,72596.4,72614.6,71303.95,71536.7,532656721,22633.24
20.06.2024,71649.85,71843.6,71025.75,71632.2,394450872,18862.72
21.06.2024,71847.4,71878.25,70970.8,71111.8,457090268,20095.78
24.06.2024,70944.85,71693.1,70383.1,71642.25,387971216,17047.34
25.06.2024,71915.7,72049.35,71257.3,71360.85,355717608,16287.28
26.06.2024,71271.1,71520.1,71032.55,71235.8,491194588,21603.12
27.06.2024,71204.8,71578.2,70654.35,71340.65,547466175,23011.18
28.06.2024,71536.05,71829,71365.15,71523.45,453449939,16587.95
01.07.2024,71727.5,72247.65,71536.05,72197.25,396196687,16464.9
02.07.2024,72428,72431.7,71335.2,71807.5,423717569,17315.62
03.07.2024,72220.4,72635.85,72112.7,72584.95,400298329,16861.49
04.07.2024,72877.2,73131.8,72534.95,72928.25,334986557,15752.23
05.07.2024,72984.85,73483.8,72785.65,73426.55,555833181,19210.16
08.07.2024,73693.75,73812.2,73232.35,73508.8,635894517,22980.3
09.07.2024,73823.9,74096,73446.5,73863.6,494006856,18571.67
10.07.2024,74148.7,74158.9,72254,73897.5,563816077,21627.62
11.07.2024,74155.45,74308.55,73787.05,74059.2,438903542,16814.33
12.07.2024,74322.4,74453.3,73424.4,73732.1,610851369,20408.15
15.07.2024,74053,74430.95,73744.65,74367.35,519828373,17796.84
16.07.2024,74612.45,74715.6,73807.5,73921.7,433845070,18585.43
18.07.2024,73906.25,73943.35,72648.05,73112.5,513123833,24854.01
19.07.2024,73047.85,73059.6,71246.9,71353,474255411,20461.83
22.07.2024,71092.1,72352,70696.3,72265.95,364674089,17638.54
23.07.2024,72627,72635.2,68938.5,71632.2,595576725,27110.19
24.07.2024,71704.3,72163.75,71449.9,71844.65,405227039,18917.68
25.07.2024,71340.2,72355.4,71055.3,72210.25,467687099,17317.58
26.07.2024,72611.2,73457.85,72559.6,73400.65,421969979,18698.39
29.07.2024,73836.2,74365.5,73571.6,74288.3,679980926,25619.78
30.07.2024,74495.85,74656.65,74118.95,74215.85,442376662,21950.67
31.07.2024,74514.8,74879.05,74381.25,74788.1,423613295,20477.52
01.08.2024,74936.7,75057.3,73921.3,74294.65,489063845,25854.54
02.08.2024,73621.4,74241.25,73173.45,73328.15,723628855,27387.54
05.08.2024,71459.55,72084.95,70269.45,70936.9,775888423,28806.27
06.08.2024,71496.4,72456.65,70081,70282.45,541173307,22765.32
07.08.2024,71577.65,72491.05,71077.35,72401.25,482082423,21244.35
08.08.2024,72465.1,72495.55,71716.4,71825.9,337357739,16212.11
09.08.2024,72658.9,72900,72241.2,72718.85,306632494,17893.55
12.08.2024,72401.5,72736.65,71965.85,72434.25,335488037,17682.56
13.08.2024,72596.85,72669,71534.25,71609.8,321505235,15482.15
14.08.2024,71840.1,71921.65,71100.1,71642.4,307122540,15655.92
16.08.2024,72208.55,73001.85,71885.2,72943.2,302678541,15577.56
19.08.2024,73446.45,73664.35,73249.85,73370.75,317458882,15151.76
20.08.2024,73628.8,74002.75,73314.95,73971.3,397686854,16061.8
21.08.2024,74088.95,74256.05,73922.05,74178.5,276669176,12787.64
22.08.2024,74546.15,74713.65,74382,74660.35,258349079,13268.08
23.08.2024,74904.35,74958.6,74325.25,74403.6,327612786,15867.01
26.08.2024,74752.5,74817.25,74433.5,74768.8,240717013,12346.06
27.08.2024,74884.55,74933.35,74622.6,74848.95,248407398,13230.81
